country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
Philippines,Abra,0,397148,397148,397148,736,174,223,106,372,319,265,252,124,239,225,105,141,348,358,205,365,416,242,176,168,164,117,354
Philippines,Abra,10,397148,285110,277818,736,172,221,106,371,317,264,251,123,237,225,104,117,248,276,191,351,399,232,169,162,155,107,311
Philippines,Abra,15,397148,279483,269617,736,172,220,106,370,316,264,251,123,237,224,104,116,243,272,190,349,397,230,167,161,153,106,308
Philippines,Abra,20,397148,276613,267399,736,171,219,106,370,316,264,250,123,237,224,104,115,239,268,189,349,395,229,166,161,152,105,307
Philippines,Abra,25,397148,272347,262654,736,171,219,105,370,315,264,250,123,236,223,104,115,236,265,189,348,394,228,166,161,151,105,306
Philippines,Abra,30,397148,266985,258953,736,171,218,105,370,315,264,250,123,236,223,104,114,232,260,186,345,391,224,165,159,149,104,301
Philippines,Abra,50,397148,244286,235622,736,166,208,104,365,312,262,245,122,232,220,103,110,217,240,180,335,379,217,160,154,142,97,287
Philippines,Abra,75,397148,200076,190002,736,151,176,99,346,294,252,228,115,214,206,98,99,178,184,135,277,304,170,132,118,110,75,224
Philippines,Agusan del Norte,0,299205,299205,299205,1481,461,418,339,986,537,663,442,319,742,994,595,900,517,2379,1820,2005,1985,1011,1216,992,1080,678,636
Philippines,Agusan del Norte,10,299205,250910,255128,1481,459,417,338,985,536,663,441,318,742,994,594,892,493,2277,1746,1900,1884,974,1139,928,1013,629,585
Philippines,Agusan del Norte,15,299205,246840,250784,1481,458,417,337,984,536,663,441,318,741,993,594,891,491,2267,1734,1888,1871,969,1132,919,1005,625,578
Philippines,Agusan del Norte,20,299205,244752,249648,1481,458,417,337,984,536,663,441,318,741,993,593,891,488,2259,1727,1880,1863,966,1125,914,1001,621,574
Philippines,Agusan del Norte,25,299205,243219,246837,1481,458,417,337,984,536,662,441,318,741,993,593,890,488,2255,1725,1877,1858,965,1122,912,997,619,572
Philippines,Agusan del Norte,30,299205,239341,243904,1481,458,417,337,984,535,662,441,318,740,993,593,890,484,2237,1707,1856,1836,957,1107,901,985,612,562
Philippines,Agusan del Norte,50,299205,226226,229135,1481,457,416,335,981,533,660,438,317,738,991,591,885,472,2182,1670,1801,1783,935,1061,867,951,592,536
Philippines,Agusan del Norte,75,299205,191575,199632,1481,439,405,326,957,517,642,430,304,713,965,570,843,414,1860,1448,1515,1523,833,903,743,808,507,445
Philippines,Agusan del Sur,0,858459,858459,858459,3876,3100,2984,1715,6124,3600,3530,3655,3105,4294,6175,4866,6441,2780,13136,9752,10364,12551,7125,7247,5638,4941,4145,3399
Philippines,Agusan del Sur,10,858459,790833,786661,3876,3094,2981,1710,6112,3593,3524,3651,3100,4289,6166,4858,6407,2720,12674,9507,10097,12301,6997,7078,5535,4857,4026,3283
Philippines,Agusan del Sur,15,858459,786203,780286,3876,3092,2980,1709,6109,3592,3523,3650,3100,4288,6164,4856,6403,2717,12644,9486,10078,12280,6988,7065,5527,4852,4019,3276
Philippines,Agusan del Sur,20,858459,783233,778507,3876,3091,2979,1708,6108,3591,3523,3649,3099,4286,6163,4855,6401,2714,12621,9469,10063,12260,6978,7054,5517,4847,4013,3270
Philippines,Agusan del Sur,25,858459,781458,775292,3876,3090,2979,1708,6106,3590,3522,3649,3099,4286,6162,4854,6399,2712,12609,9461,10055,12252,6973,7047,5514,4844,4010,3266
Philippines,Agusan del Sur,30,858459,777028,770148,3876,3089,2978,1707,6104,3589,3521,3648,3098,4284,6159,4852,6397,2708,12569,9433,10026,12222,6959,7027,5500,4834,3996,3251
