ADM1ALT1EN,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
,225,3177184,2222048,2159213,5888,1348,1704,837,2934,2504,2099,1977,976,1868,1770,826,927,1941,2123,1465,2719,3075,1772,1301,1244,1176,816,2398
,225,2393640,1942068,1974273,11848,3648,3324,2686,7845,4266,5278,3515,2530,5898,7916,4723,7082,3847,17716,13577,14722,14603,7610,8805,7176,7840,4883,4488
,225,6867672,6228771,6180542,31008,24628,23761,13614,48633,28602,28055,29101,24708,34120,49090,38680,51021,21613,100159,75003,79731,97185,55397,55934,43777,38539,31878,25935
,225,1331480,953843,937606,2360,1338,872,581,1768,806,2176,905,3086,928,1496,281,2573,1223,1823,354,2453,1983,921,1930,1251,383,1440,551
,225,2010912,1408641,1425263,5024,2723,675,1370,2135,2389,17589,4370,1049,4466,9154,1254,1483,523,2852,115,509,6312,814,869,2587,1509,750,771
,225,2188736,1308997,1298506,4112,2611,921,436,1122,801,1674,691,2656,1153,3538,295,1526,1090,488,163,1640,799,219,570,318,313,888,514
,225,3130944,2822081,2785505,2240,7745,6615,8206,13053,11314,14922,17832,8797,15894,12159,8676,7262,14660,13330,16409,31938,31882,41357,13405,16381,17693,15297,15795
,225,2432880,2218507,2186990,5272,2280,2792,5405,4411,5751,8074,7351,3913,5112,3931,4830,4840,4222,2642,2656,3667,2583,3315,1582,2911,3876,2506,3134
,225,1095120,988896,980356,2288,902,3709,3363,3172,976,3287,6464,2082,5217,2691,3121,2195,2980,4465,1900,9949,4131,7047,6720,1981,2715,3017,2129
,225,1053520,615226,633388,13136,684,435,585,826,877,1419,879,238,1055,1211,590,1589,126,265,177,487,680,532,304,322,646,778,2109
,225,166104,101600,96244,144,805,373,236,0,0,0,0,0,0,658,0,0,0,1196,0,0,1277,74,103,38,260,78,75
,225,2576376,1342944,1346667,11080,2791,2693,2643,951,2769,2241,1828,921,3574,12599,80,3078,1420,3810,1134,2782,2711,1600,1140,1591,1050,1124,1914
,225,2111456,1576213,1518155,1624,500,2828,428,1017,1033,1620,1038,451,3636,2805,714,778,528,767,98,1011,1107,462,369,368,295,262,568
,225,427528,353710,358211,1040,302,166,235,189,380,266,436,214,371,973,167,132,660,994,270,288,1048,883,90,1200,132,49,41
,225,3182696,1753302,1766616,23432,2309,1103,612,2448,1738,2317,3074,628,3470,4542,2541,2624,883,1157,610,2746,4634,1096,673,1174,1592,18572,949
